,algo_volatility,algorithm_period_return,alpha,benchmark_period_return,benchmark_volatility,beta,capital_used,ending_cash,ending_exposure,ending_value,excess_return,gross_leverage,long_exposure,long_value,longs_count,max_drawdown,max_leverage,moving_average,net_leverage,orders,period_close,period_label,period_open,pnl,portfolio_value,positions,price,returns,sharpe,short_exposure,short_value,shorts_count,sortino,starting_cash,starting_exposure,starting_value,time,trading_days,transactions,treasury_period_return
2016-08-26 20:00:00+00:00,0.8071688235862078,0.36982524999999544,,0.0,0.0,,0.0,77862.25249999994,-64164.0,-64164.0,0.0,4.6841011289578915,0.0,0.0,0,-0.4879594255518441,9.592338331294812,108.445,-4.6841011289578915,[],2016-08-26 20:00:00+00:00,2016-08,2016-08-26 13:31:00+00:00,378.0000000000073,13698.252499999944,"[{'cost_basis': 100.14786874938767, 'last_sale_price': 106.94, 'amount': -600, 'sid': Equity(8 [AAPL])}]",106.94,0.028377840435082513,0.686336822103955,-64164.0,-64164.0,1,1.138008431411927,77862.25249999994,-64542.00000000001,-64542.00000000001,327,327,[],0.0
2016-08-29 20:00:00+00:00,0.8059381320975703,0.37702524999999487,,0.0,0.0,,0.0,77862.25249999994,-64092.00000000001,-64092.00000000001,0.0,4.654380883720201,0.0,0.0,0,-0.4879594255518441,9.592338331294812,108.14499999999998,-4.654380883720201,[],2016-08-29 20:00:00+00:00,2016-08,2016-08-29 13:31:00+00:00,71.99999999999272,13770.252499999937,"[{'cost_basis': 100.14786874938767, 'last_sale_price': 106.82000000000001, 'amount': -600, 'sid': Equity(8 [AAPL])}]",106.82000000000001,0.005256144898774018,0.6902998230854185,-64092.00000000001,-64092.00000000001,1,1.1445804220927251,77862.25249999994,-64164.0,-64164.0,328,328,[],0.0
2016-08-30 20:00:00+00:00,0.8052432418942834,0.42622524999999567,,0.0,0.0,,0.0,77862.25249999994,-63600.0,-63600.0,0.0,4.459323658727838,0.0,0.0,0,-0.4879594255518441,9.592338331294812,107.75999999999999,-4.459323658727838,[],2016-08-30 20:00:00+00:00,2016-08,2016-08-30 13:31:00+00:00,492.0000000000073,14262.252499999944,"[{'cost_basis': 100.14786874938767, 'last_sale_price': 106.0, 'amount': -600, 'sid': Equity(8 [AAPL])}]",106.0,0.03572919232962568,0.7227815904680973,-63600.0,-63600.0,1,1.1992287860812294,77862.25249999994,-64092.00000000001,-64092.00000000001,329,329,[],0.0
2016-08-31 20:00:00+00:00,0.8040387023157306,0.4202252499999948,,0.0,0.0,,0.0,77862.25249999994,-63660.00000000001,-63660.00000000001,0.0,4.482387564930302,0.0,0.0,0,-0.4879594255518441,9.592338331294812,107.3525,-4.482387564930302,[],2016-08-31 20:00:00+00:00,2016-08,2016-08-31 13:31:00+00:00,-60.000000000007276,14202.252499999937,"[{'cost_basis': 100.14786874938767, 'last_sale_price': 106.10000000000001, 'amount': -600, 'sid': Equity(8 [AAPL])}]",106.10000000000001,-0.00420690911200805,0.7176753542590298,-63660.00000000001,-63660.00000000001,1,1.1907466925779295,77862.25249999994,-63600.0,-63600.0,330,330,[],0.0
2016-09-01 20:00:00+00:00,0.8032156089146306,0.3824252499999954,,0.0,0.0,,0.0,77862.25249999994,-64038.0,-64038.0,0.0,4.632293861820034,0.0,0.0,0,-0.4879594255518441,9.592338331294812,107.13000000000001,-4.632293861820034,[],2016-09-01 20:00:00+00:00,2016-09,2016-09-01 13:31:00+00:00,-377.9999999999927,13824.252499999944,"[{'cost_basis': 100.14786874938767, 'last_sale_price': 106.73, 'amount': -600, 'sid': Equity(8 [AAPL])}]",106.73,-0.02661549637988725,0.6910128208159129,-64038.0,-64038.0,1,1.145750485747823,77862.25249999994,-63660.00000000001,-63660.00000000001,331,331,[],0.0
2016-09-02 20:00:00+00:00,0.8029849470600384,0.32242524999999533,,0.0,0.0,,0.0,77862.25249999994,-64638.0,-64638.0,0.0,4.887837705760705,0.0,0.0,0,-0.4879594255518441,9.592338331294812,106.99,-4.887837705760705,"[{'reason': None, 'filled': 0, 'sid': Equity(8 [AAPL]), 'limit_reached': False, 'amount': 100, 'status': 0, 'stop': None, 'id': 'de0de49c69e14812b42f65b857ca4bd6', 'limit': None, 'created': Timestamp('2016-09-02 20:00:00+0000', tz='UTC'), 'commission': 0, 'stop_reached': False, 'dt': Timestamp('2016-09-02 20:00:00+0000', tz='UTC')}]",2016-09-02 20:00:00+00:00,2016-09,2016-09-02 13:31:00+00:00,-600.0,13224.252499999944,"[{'cost_basis': 100.14786874938767, 'last_sale_price': 107.73, 'amount': -600, 'sid': Equity(8 [AAPL])}]",107.73,-0.043401985025953715,0.6481028395075847,-64638.0,-64638.0,1,1.0726428934566015,77862.25249999994,-64038.0,-64038.0,332,332,[],0.0
2016-09-06 20:00:00+00:00,0.8017753110718101,0.3236767499999953,,0.0,0.0,,-10775.485,67086.76749999994,-53850.0,-53850.0,0.0,4.068213784067766,0.0,0.0,0,-0.4879594255518441,9.592338331294812,106.94875,-4.068213784067766,"[{'reason': None, 'filled': 100, 'sid': Equity(8 [AAPL]), 'limit_reached': False, 'amount': 100, 'status': 1, 'stop': None, 'id': 'de0de49c69e14812b42f65b857ca4bd6', 'limit': None, 'created': Timestamp('2016-09-02 20:00:00+0000', tz='UTC'), 'commission': 0.1, 'stop_reached': False, 'dt': Timestamp('2016-09-06 20:00:00+0000', tz='UTC')}]",2016-09-06 20:00:00+00:00,2016-09,2016-09-06 13:31:00+00:00,12.514999999999418,13236.767499999944,"[{'cost_basis': 100.14766874938766, 'last_sale_price': 107.7, 'amount': -500, 'sid': Equity(8 [AAPL])}]",107.7,0.0009463672899470144,0.6480246693201859,-53850.0,-53850.0,1,1.0725094428399888,77862.25249999994,-64638.0,-64638.0,333,333,"[{'order_id': 'de0de49c69e14812b42f65b857ca4bd6', 'price': 107.75385, 'sid': Equity(8 [AAPL]), 'commission': None, 'amount': 100, 'dt': Timestamp('2016-09-06 20:00:00+0000', tz='UTC')}]",0.0
2016-09-07 20:00:00+00:00,0.8009137906941703,0.29067674999999515,,0.0,0.0,,0.0,67086.76749999994,-54180.0,-54180.0,0.0,4.197797783217234,0.0,0.0,0,-0.4879594255518441,9.592338331294812,107.04750000000001,-4.197797783217234,[],2016-09-07 20:00:00+00:00,2016-09,2016-09-07 13:31:00+00:00,-330.0,12906.767499999944,"[{'cost_basis': 100.14766874938766, 'last_sale_price': 108.36, 'amount': -500, 'sid': Equity(8 [AAPL])}]",108.36,-0.024930558008214865,0.6232939240063589,-54180.0,-54180.0,1,1.0309839969624686,67086.76749999994,-53850.0,-53850.0,334,334,[],0.0
2016-09-08 20:00:00+00:00,0.8051849330561719,0.4326767499999953,,0.0,0.0,,0.0,67086.76749999994,-52760.0,-52760.0,0.0,3.6826171709703677,0.0,0.0,0,-0.4879594255518441,9.592338331294812,106.87,-3.6826171709703677,"[{'reason': None, 'filled': 0, 'sid': Equity(8 [AAPL]), 'limit_reached': False, 'amount': -100, 'status': 0, 'stop': None, 'id': 'bafbf0b6d3ab4123820e07fe165c84c8', 'limit': None, 'created': Timestamp('2016-09-08 20:00:00+0000', tz='UTC'), 'commission': 0, 'stop_reached': False, 'dt': Timestamp('2016-09-08 20:00:00+0000', tz='UTC')}]",2016-09-08 20:00:00+00:00,2016-09,2016-09-08 13:31:00+00:00,1420.0,14326.767499999944,"[{'cost_basis': 100.14766874938766, 'last_sale_price': 105.52, 'amount': -500, 'sid': Equity(8 [AAPL])}]",105.52,0.11001980162732505,0.7209222086617514,-52760.0,-52760.0,1,1.200622487608042,67086.76749999994,-54180.0,-54180.0,335,335,[],0.0
2016-09-09 20:00:00+00:00,0.8070171536595997,0.5516510999999948,,0.0,0.0,,10307.743499999997,77394.51099999994,-61878.0,-61878.0,0.0,3.98788103846285,0.0,0.0,0,-0.4879594255518441,9.592338331294812,106.40875,-3.98788103846285,"[{'reason': None, 'filled': -100, 'sid': Equity(8 [AAPL]), 'limit_reached': False, 'amount': -100, 'status': 1, 'stop': None, 'id': 'bafbf0b6d3ab4123820e07fe165c84c8', 'limit': None, 'created': Timestamp('2016-09-08 20:00:00+0000', tz='UTC'), 'commission': 0.1, 'stop_reached': False, 'dt': Timestamp('2016-09-09 20:00:00+0000', tz='UTC')}]",2016-09-09 20:00:00+00:00,2016-09,2016-09-09 13:31:00+00:00,1189.7434999999969,15516.51099999994,"[{'cost_basis': 100.63596312448973, 'last_sale_price': 103.13, 'amount': -600, 'sid': Equity(8 [AAPL])}]",103.13,0.08304340110216768,0.794320965779719,-61878.0,-61878.0,1,1.3278482824929236,67086.76749999994,-52760.0,-52760.0,336,336,"[{'order_id': 'bafbf0b6d3ab4123820e07fe165c84c8', 'price': 103.078435, 'sid': Equity(8 [AAPL]), 'commission': None, 'amount': -100, 'dt': Timestamp('2016-09-09 20:00:00+0000', tz='UTC')}]",0.0
2016-09-12 20:00:00+00:00,0.8097217879793012,0.4130510999999948,,0.0,0.0,,0.0,77394.51099999994,-63264.0,-63264.0,0.0,4.4771204664856254,0.0,0.0,0,-0.4879594255518441,9.592338331294812,106.33875,-4.4771204664856254,[],2016-09-12 20:00:00+00:00,2016-09,2016-09-12 13:31:00+00:00,-1386.0,14130.51099999994,"[{'cost_basis': 100.63596312448973, 'last_sale_price': 105.44, 'amount': -600, 'sid': Equity(8 [AAPL])}]",105.44,-0.08932420439105193,0.7068281041130062,-63264.0,-63264.0,1,1.1723556195852654,77394.51099999994,-61878.0,-61878.0,337,337,[],0.0
2016-09-13 20:00:00+00:00,0.8139639634597912,0.2624510999999947,,0.0,0.0,,0.0,77394.51099999994,-64770.0,-64770.0,0.0,5.1304957475184825,0.0,0.0,0,-0.4879594255518441,9.592338331294812,106.57000000000002,-5.1304957475184825,"[{'reason': None, 'filled': 0, 'sid': Equity(8 [AAPL]), 'limit_reached': False, 'amount': 100, 'status': 0, 'stop': None, 'id': '21389d98eba847d58119ad18108cb42d', 'limit': None, 'created': Timestamp('2016-09-13 20:00:00+0000', tz='UTC'), 'commission': 0, 'stop_reached': False, 'dt': Timestamp('2016-09-13 20:00:00+0000', tz='UTC')}]",2016-09-13 20:00:00+00:00,2016-09,2016-09-13 13:31:00+00:00,-1506.0,12624.51099999994,"[{'cost_basis': 100.63596312448973, 'last_sale_price': 107.95, 'amount': -600, 'sid': Equity(8 [AAPL])}]",107.95,-0.10657788667373791,0.6034424199179365,-64770.0,-64770.0,1,0.9901248739264625,77394.51099999994,-63264.0,-63264.0,338,338,[],0.0
2016-09-14 20:00:00+00:00,0.8280888464111655,0.03268224999999436,,0.0,0.0,,-11182.688499999997,66211.82249999994,-55885.0,-55885.0,0.0,5.411635573285039,0.0,0.0,0,-0.5559779649149083,9.592338331294812,107.20000000000002,-5.411635573285039,"[{'reason': None, 'filled': 100, 'sid': Equity(8 [AAPL]), 'limit_reached': False, 'amount': 100, 'status': 1, 'stop': None, 'id': '21389d98eba847d58119ad18108cb42d', 'limit': None, 'created': Timestamp('2016-09-13 20:00:00+0000', tz='UTC'), 'commission': 0.1, 'stop_reached': False, 'dt': Timestamp('2016-09-14 20:00:00+0000', tz='UTC')}]",2016-09-14 20:00:00+00:00,2016-09,2016-09-14 13:31:00+00:00,-2297.688500000004,10326.822499999937,"[{'cost_basis': 100.63576312448973, 'last_sale_price': 111.77, 'amount': -500, 'sid': Equity(8 [AAPL])}]",111.77,-0.1820021781437723,0.42801907203082795,-55885.0,-55885.0,1,0.6821255044194094,77394.51099999994,-64770.0,-64770.0,339,339,"[{'order_id': '21389d98eba847d58119ad18108cb42d', 'price': 111.825885, 'sid': Equity(8 [AAPL]), 'commission': None, 'amount': 100, 'dt': Timestamp('2016-09-14 20:00:00+0000', tz='UTC')}]",0.0
2016-09-15 20:00:00+00:00,0.8421300930710811,-0.15731775000000658,,0.0,0.0,,0.0,66211.82249999994,-57785.00000000001,-57785.00000000001,0.0,6.857270341222981,0.0,0.0,0,-0.6376722001611984,9.592338331294812,108.18,-6.857270341222981,[],2016-09-15 20:00:00+00:00,2016-09,2016-09-15 13:31:00+00:00,-1900.0000000000073,8426.82249999993,"[{'cost_basis': 100.63576312448973, 'last_sale_price': 115.57000000000001, 'amount': -500, 'sid': Equity(8 [AAPL])}]",115.57000000000001,-0.18398689432301363,0.2577138618386261,-57785.00000000001,-57785.00000000001,1,0.4000651209417947,66211.82249999994,-55885.0,-55885.0,340,340,[],0.0
2016-09-16 20:00:00+00:00,0.8415152633427139,-0.12481775000000583,,0.0,0.0,,0.0,66211.82249999994,-57460.0,-57460.0,0.0,6.565489645156814,0.0,0.0,0,-0.6376722001611984,9.592338331294812,109.0825,-6.565489645156814,[],2016-09-16 20:00:00+00:00,2016-09,2016-09-16 13:31:00+00:00,325.0000000000073,8751.822499999937,"[{'cost_basis': 100.63576312448973, 'last_sale_price': 114.92, 'amount': -500, 'sid': Equity(8 [AAPL])}]",114.92,0.03856732475378588,0.29101494377415565,-57460.0,-57460.0,1,0.45209400001315775,66211.82249999994,-57785.00000000001,-57785.00000000001,341,341,[],0.0
2016-09-19 20:00:00+00:00,0.8427815603862002,-0.057817750000005774,,0.0,0.0,,0.0,66211.82249999994,-56790.0,-56790.0,0.0,6.027496272616087,0.0,0.0,0,-0.6376722001611984,9.592338331294812,109.73499999999999,-6.027496272616087,[],2016-09-19 20:00:00+00:00,2016-09,2016-09-19 13:31:00+00:00,670.0,9421.822499999937,"[{'cost_basis': 100.63576312448973, 'last_sale_price': 113.58, 'amount': -500, 'sid': Equity(8 [AAPL])}]",113.58,0.07655548315793714,0.35666033957034204,-56790.0,-56790.0,1,0.555721452379696,66211.82249999994,-57460.0,-57460.0,342,342,[],0.0
2016-09-20 20:00:00+00:00,0.8415487129675852,-0.057317750000006495,,0.0,0.0,,0.0,66211.82249999994,-56785.00000000001,-56785.00000000001,0.0,6.023768878643937,0.0,0.0,0,-0.6376722001611984,9.592338331294812,110.74124999999998,-6.023768878643937,[],2016-09-20 20:00:00+00:00,2016-09,2016-09-20 13:31:00+00:00,4.999999999992724,9426.82249999993,"[{'cost_basis': 100.63576312448973, 'last_sale_price': 113.57000000000001, 'amount': -500, 'sid': Equity(8 [AAPL])}]",113.57000000000001,0.0005306828907032379,0.35660478844013693,-56785.00000000001,-56785.00000000001,1,0.5556326478732296,66211.82249999994,-56790.0,-56790.0,343,343,[],0.0
